contrast,auc_diff,auc_diff_lo,auc_diff_hi,ap_diff,ap_diff_lo,ap_diff_hi
pla_learned_minus_noctx,-0.0019,-0.0048,0.0006,0.0585,0.0254,0.0909
pla_learned_minus_static,-0.0064,-0.0172,0.0019,-0.1062,-0.1555,-0.0582
