model,n_train,n_test,auc,auc_lo,auc_hi,ap,ap_lo,ap_hi,brier,log_loss,ece,note
logistic_regression,199364,85443,0.9859,0.9719,0.9951,0.7619,0.6910,0.8230,0.0007,0.0045,0.0004,
gradient_boosting,199364,85443,0.8379,0.7815,0.8903,0.5457,0.4687,0.6307,0.0020,0.0336,0.0021,
gradient_boosting_balanced,199364,85443,0.9764,0.9565,0.9904,0.7591,0.6852,0.8250,0.0022,0.0245,0.0213,"class_weight=balanced, otherwise defaults"
decision_tree,199364,85443,0.9474,0.9178,0.9723,0.5152,0.4458,0.5922,0.0243,0.1096,0.0763,"interpretable baseline: depth 4, balanced"
ebm_interpretml,199364,85443,0.9891,0.9785,0.9961,0.8788,0.8333,0.9239,0.0004,0.0023,0.0002,interpretable baseline: EBM defaults
rulefit,199364,85443,0.9494,0.9241,0.9731,0.8072,0.7448,0.8663,0.0006,0.0056,0.0005,"rule baseline: RuleFit, max_rules=30, no linear terms; 28 rules selected"
pla_static,199364,85443,0.9630,0.9392,0.9829,0.6623,0.5901,0.7321,0.0019,0.0184,0.0138,"empirical precisions, noisy-OR, neutral context"
pla_learned,199364,85443,0.9572,0.9308,0.9798,0.5325,0.4539,0.6098,0.0018,0.0118,0.0021,"logit path + bias, fitted rule + context weights"
pla_learned_noctx,199364,85443,0.9580,0.9323,0.9796,0.4897,0.4177,0.5628,0.0018,0.0119,0.0021,ablation: context weights disabled
constant_prevalence,199364,85443,0.5000,0.5000,0.5000,0.0018,0.0015,0.0021,0.0018,0.0133,0.0001,predicts training prevalence 0.001685 everywhere
