contrast,auc_diff,auc_diff_lo,auc_diff_hi,ap_diff,ap_diff_lo,ap_diff_hi
pla_learned_minus_noctx,-0.0008,-0.0021,0.0008,0.0428,0.0181,0.0665
pla_learned_minus_static,-0.0058,-0.0200,0.0061,-0.1299,-0.1794,-0.0775
