contrast,auc_diff,auc_diff_lo,auc_diff_hi,ap_diff,ap_diff_lo,ap_diff_hi
pla_learned_minus_noctx,0.0010,-0.0013,0.0042,0.0377,0.0162,0.0625
pla_learned_minus_static,-0.0040,-0.0143,0.0052,-0.1299,-0.1802,-0.0786
