contrast,auc_diff,auc_diff_lo,auc_diff_hi,ap_diff,ap_diff_lo,ap_diff_hi
pla_learned_minus_noctx,-0.0032,-0.0112,0.0017,0.0638,0.0394,0.0894
pla_learned_minus_static,-0.0140,-0.0318,-0.0005,-0.1090,-0.1554,-0.0598
