model,n_train,n_test,auc,auc_lo,auc_hi,ap,ap_lo,ap_hi,brier,log_loss,ece,note
logistic_regression,199364,85443,0.9748,0.9608,0.9877,0.7308,0.6584,0.8032,0.0008,0.0049,0.0003,
gradient_boosting,199364,85443,0.8360,0.7839,0.8860,0.5197,0.4381,0.6035,0.0015,0.0298,0.0014,
gradient_boosting_balanced,199364,85443,0.9701,0.9456,0.9898,0.7163,0.6346,0.7914,0.0026,0.0299,0.0261,"class_weight=balanced, otherwise defaults"
decision_tree,199364,85443,0.9242,0.8922,0.9546,0.4735,0.4000,0.5471,0.0205,0.1012,0.0731,"interpretable baseline: depth 4, balanced"
ebm_interpretml,199364,85443,0.9815,0.9687,0.9932,0.8402,0.7815,0.8924,0.0004,0.0028,0.0003,interpretable baseline: EBM defaults
pla_static,199364,85443,0.9617,0.9395,0.9789,0.6397,0.5568,0.7215,0.0019,0.0180,0.0135,"empirical precisions, noisy-OR, neutral context"
pla_learned,199364,85443,0.9478,0.9200,0.9705,0.5307,0.4410,0.6107,0.0018,0.0117,0.0021,"logit path + bias, fitted rule + context weights"
pla_learned_noctx,199364,85443,0.9509,0.9244,0.9718,0.4670,0.3799,0.5462,0.0018,0.0118,0.0021,ablation: context weights disabled
constant_prevalence,199364,85443,0.5000,0.5000,0.5000,0.0018,0.0015,0.0021,0.0018,0.0133,0.0001,predicts training prevalence 0.001690 everywhere
