contrast,auc_diff,auc_diff_lo,auc_diff_hi,ap_diff,ap_diff_lo,ap_diff_hi
pla_learned_minus_noctx,-0.0004,-0.0012,0.0004,0.0449,0.0178,0.0699
pla_learned_minus_static,-0.0003,-0.0092,0.0060,-0.1449,-0.1981,-0.0929
