contrast,auc_diff,auc_diff_lo,auc_diff_hi,ap_diff,ap_diff_lo,ap_diff_hi
pla_learned_minus_noctx,0.0011,-0.0071,0.0140,0.0001,-0.0000,0.0009
pla_learned_minus_static,-0.0730,-0.1565,0.0141,-0.0047,-0.0233,-0.0001
