model,n_train,n_test,auc,auc_lo,auc_hi,ap,ap_lo,ap_hi,brier,log_loss,ece,note
logistic_regression,199364,85443,0.9700,0.9513,0.9851,0.7600,0.6904,0.8208,0.0007,0.0042,0.0003,
gradient_boosting,199364,85443,0.7983,0.7308,0.8515,0.5618,0.4734,0.6482,0.0015,0.0291,0.0014,
gradient_boosting_balanced,199364,85443,0.9524,0.9250,0.9765,0.7806,0.7169,0.8412,0.0018,0.0180,0.0146,"class_weight=balanced, otherwise defaults"
decision_tree,199364,85443,0.9409,0.9130,0.9646,0.3365,0.2761,0.3971,0.0229,0.0981,0.0606,"interpretable baseline: depth 4, balanced"
ebm_interpretml,199364,85443,0.9747,0.9545,0.9898,0.8442,0.7895,0.8938,0.0004,0.0029,0.0002,interpretable baseline: EBM defaults
pla_static,199364,85443,0.9525,0.9278,0.9729,0.6911,0.6172,0.7616,0.0019,0.0185,0.0138,"empirical precisions, noisy-OR, neutral context"
pla_learned,199364,85443,0.9485,0.9196,0.9716,0.5522,0.4708,0.6312,0.0017,0.0116,0.0021,"logit path + bias, fitted rule + context weights"
pla_learned_noctx,199364,85443,0.9523,0.9258,0.9736,0.4995,0.4168,0.5768,0.0018,0.0116,0.0021,ablation: context weights disabled
problog_rules,199364,150,0.8758,0.7412,0.9919,0.7024,0.4240,0.9311,0.0519,0.3916,0.0530,subset n=150
pgmpy_naive_bayes,199364,2000,0.8143,0.4399,1.0000,0.2786,0.0009,1.0000,0.0016,0.0196,0.0018,subset n=2000
