contrast,auc_diff,auc_diff_lo,auc_diff_hi,ap_diff,ap_diff_lo,ap_diff_hi
pla_learned_minus_noctx,0.0006,-0.0020,0.0044,0.0639,0.0417,0.0893
pla_learned_minus_static,-0.0081,-0.0275,0.0060,-0.1246,-0.1703,-0.0793
