contrast,auc_diff,auc_diff_lo,auc_diff_hi,ap_diff,ap_diff_lo,ap_diff_hi
pla_learned_minus_noctx,-0.0001,-0.0015,0.0014,0.0524,0.0254,0.0796
pla_learned_minus_static,-0.0052,-0.0121,0.0007,-0.1099,-0.1520,-0.0598
