model,n_train,n_test,auc,auc_lo,auc_hi,ap,ap_lo,ap_hi,brier,log_loss,ece,note
logistic_regression,199364,85443,0.9772,0.9619,0.9900,0.7691,0.7042,0.8340,0.0008,0.0045,0.0003,
gradient_boosting,199364,85443,0.7630,0.7012,0.8151,0.4828,0.4030,0.5607,0.0017,0.0390,0.0014,
gradient_boosting_balanced,199364,85443,0.9841,0.9738,0.9932,0.7865,0.7114,0.8476,0.0039,0.0427,0.0384,"class_weight=balanced, otherwise defaults"
decision_tree,199364,85443,0.9322,0.8941,0.9615,0.5187,0.4407,0.5937,0.0237,0.1069,0.0739,"interpretable baseline: depth 4, balanced"
ebm_interpretml,199364,85443,0.9778,0.9623,0.9926,0.8760,0.8271,0.9180,0.0004,0.0026,0.0002,interpretable baseline: EBM defaults
pla_static,199364,85443,0.9694,0.9494,0.9853,0.7128,0.6337,0.7810,0.0019,0.0177,0.0134,"empirical precisions, noisy-OR, neutral context"
pla_learned,199364,85443,0.9613,0.9378,0.9817,0.5882,0.5124,0.6586,0.0019,0.0125,0.0019,"logit path + bias, fitted rule + context weights"
pla_learned_noctx,199364,85443,0.9607,0.9368,0.9812,0.5244,0.4442,0.5973,0.0019,0.0126,0.0019,ablation: context weights disabled
constant_prevalence,199364,85443,0.5000,0.5000,0.5000,0.0019,0.0016,0.0022,0.0019,0.0141,0.0003,predicts training prevalence 0.001635 everywhere
