contrast,auc_diff,auc_diff_lo,auc_diff_hi,ap_diff,ap_diff_lo,ap_diff_hi
pla_learned_minus_noctx,-0.0006,-0.0016,0.0002,0.0959,0.0568,0.1334
pla_learned_minus_static,-0.0044,-0.0123,0.0019,0.0079,-0.0141,0.0306
