contrast,auc_diff,auc_diff_lo,auc_diff_hi,ap_diff,ap_diff_lo,ap_diff_hi
pla_learned_minus_noctx,-0.0006,-0.0021,0.0010,0.0409,0.0159,0.0700
pla_learned_minus_static,-0.0062,-0.0180,0.0024,-0.1897,-0.2371,-0.1346
