contrast,auc_diff,auc_diff_lo,auc_diff_hi,ap_diff,ap_diff_lo,ap_diff_hi
pla_learned_minus_noctx,0.0172,0.0019,0.0373,0.0004,0.0001,0.0015
pla_learned_minus_static,-0.0380,-0.0892,0.0037,-0.0024,-0.0065,-0.0007
