contrast,auc_diff,auc_diff_lo,auc_diff_hi,ap_diff,ap_diff_lo,ap_diff_hi
pla_learned_minus_noctx,-0.0038,-0.0112,0.0011,0.0527,0.0283,0.0816
pla_learned_minus_static,-0.0039,-0.0166,0.0062,-0.1389,-0.1901,-0.0920
